Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;63590 сом;"Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent SilverОперационная система DOS; 4х-ядерный процессор 1.0 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 4 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i5-1035g1-4gb-ddr4-512gb-ssd-nvidia-mx330-fhd-dos-transparent-silver
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS Black;33630 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 4 Гб; физическая память HDD 1000 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-4gb-ddr4-1000gb-hdd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD Intel HD Graphics 620 HD черный;39500 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя HDD: 500 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-12gb-ddr-500gb-hdd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 8GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Gun Metal;80500 сом;"Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 8GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Gun MetalОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-hn482-amd-ryzen-7-3750h-8gb-ddr4-512gb-ssd-nvidia-gtx1650-fhd-dos-gun-metal
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4120 4GB DDR4 480GB SSD DOS Platinum Grey;38380 сом;"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4120 4GB DDR4 480GB SSD DOS Platinum GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 480 Гб; DVDRW нет; вес от 1.7 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr4-480gb-ssd-dos-platinum-grey
Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;65310 сом;"Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent SilverОперационная система DOS; 4х-ядерный процессор 1.0 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-nvidia-mx330-fhd-dos-transparent-silver
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD DOS Black;42000 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 1000 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD + 128GB SSD Intel HD Graphics 620 HD черный;42510 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD + 128GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 128 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-12gb-ddr-500gb-hdd-128gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Gun Metal;84780 сом;"Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Gun MetalОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 512 Гб; вес от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-hn482-amd-ryzen-7-3750h-16gb-ddr4-512gb-ssd-nvidia-gtx1650-fhd-dos-gun-metal
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;70890 сом;"Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent SilverОперационная система DOS; 4х-ядерный процессор 1.0 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 12 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i5-1035g1-12gb-ddr4-512gb-ssd-nvidia-mx330-fhd-dos-transparent-silver
