Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;87360 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб + SSD 256 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-16gb-ddr4-1000gb-hdd-256gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 512GB SSD FHD DOS Grey;37170 сом-1%36910 сом;"Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 512GB SSD FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 4 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-4gb-ddr4-512gb-ssd-fhd-dos-grey
Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 240GB SSD Intel HD Graphics 620 HD DOS красный;39240 сом;"Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 240GB SSD Intel HD Graphics 620 HD DOS красныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 240 Gb; Вес: от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-4gb-ddr-240gb-ssd-intel-hd-graphics-620-hd-dos-krasnyy
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD DOS Black;45270 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 500 Гб + SSD 128 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-500gb-hdd-128gb-ssd-dos-black
Ноутбук Asus FX505DT AMD Ryzen 7-3750H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 Black;81780 сом;"Ноутбук Asus FX505DT AMD Ryzen 7-3750H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 BlackОперационная система Windows 10; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; экран 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-amd-ryzen-7-3750h-8gb-ddr4-256gb-ssd-nvidia-gtx1650-fhd-w10-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD черный;40100 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-1000gb-hdd-256gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;91640 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 24 Гб; накопитель HDD 1000 Гб + SSD 256 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-24gb-ddr4-1000gb-hdd-256gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Dell XPS 7390-7019 Intel Core i7-1065G7 8GB LPDDR4 256GB SSD FHD W10 Silver;107490 сом;"Ноутбук Dell XPS 7390-7019 Intel Core i7-1065G7 8GB LPDDR4 256GB SSD FHD W10 SilverОперационная система Windows 10; 4х-ядерный процессор 1.3 ГГц; видеоадаптер встроенный; диагональ экрана 13.4"" IPS 1920x1080 сенсорный; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; DVDRW нет; вес от 1.68...";На складе;https://www.kivano.kg/product/view/noutbuk-dell-xps-7390-7019-intel-core-i7-1065g7-8gb-lpddr4-256gb-ssd-fhd-w10-silver
Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 512GB SSD FHD DOS Grey;39340 сом-1%39070 сом;"Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 512GB SSD FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-8gb-ddr4-512gb-ssd-fhd-dos-grey
Ноутбук Lenovo IdeaPad L340-15API AMD Ryzen 53500U 8GB DDR 1000GB HDD Radeon Vega 8 Graphics HD DOS серый;41390 сом;"Ноутбук Lenovo IdeaPad L340-15API AMD Ryzen 53500U 8GB DDR 1000GB HDD Radeon Vega 8 Graphics HD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 5-3500U; Разрешение экрана: 1366x768 HD; Графический контроллер: Radeon Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR;Объем накопителя HDD: 1000 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-15api-amd-ryzen-53500u-8gb-ddr-1000gb-hdd-radeon-vega-8-graphics-hd-dos-seryy
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD DOS Black;45960 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 500 Гб + SSD 256 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-500gb-hdd-256gb-ssd-dos-black
Ноутбук Asus X509JA Intel Core i7-1065G7 8GB DDR4 256GB SSD FHD W10 Slate Gray;82210 сом;"Ноутбук Asus X509JA Intel Core i7-1065G7 8GB DDR4 256GB SSD FHD W10 Slate GrayОперационная система Windows 10; 4х-ядерный процессор 1.3 ГГц; видеоадаптер встроенный; экран 15.6 ""IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509ja-intel-core-i7-1065g7-8gb-ddr4-256gb-ssd-fhd-w10-slate-gray
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD черный;42260 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 512 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-1000gb-hdd-512gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;85640 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-8gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1660 FHD DOS Grey;77950 сом;"Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1660 FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506lu-intel-core-i5-10300h-8gb-ddr4-512gb-ssd-nvidia-gtx1660-fhd-dos-grey
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD DOS Black;45700 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 1000 Гб + SSD 128 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-128gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD Intel HD Graphics 620 HD черный;35360 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-1000gb-hdd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;89930 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-16gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1660Ti FHD DOS Grey;99350 сом-1%98490 сом;"Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1660Ti FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 512 Гб; вес от 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506lu-intel-core-i5-10300h-16gb-ddr4-512gb-ssd-nvidia-gtx1660ti-fhd-dos-grey
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD DOS Black;46390 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 1000 Гб + SSD 256 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-256gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 256GB SSD Intel HD Graphics 620 HD черный;36220 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 256GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-256gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;94210 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 24 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-24gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS Grey;96780 сом-1%95920 сом;"Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб +  SSD 512 Гб; вес от 2.3...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506lu-intel-core-i5-10300h-8gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1660ti-fhd-dos-grey
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD DOS Black;47850 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 1000 Гб + SSD 512 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-512gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD + 128GB SSD Intel HD Graphics 620 HD черный;37770 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD + 128GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 128 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-500gb-hdd-128gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 32GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;98490 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 32GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 32 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-32gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS Grey;102350 сом-1%101490 сом;"Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб +  SSD 512 Гб; вес от 2.3...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506lu-intel-core-i5-10300h-16gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1660ti-fhd-dos-grey
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD черный;39070 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 256Gb; Вес: от 1.6...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-500gb-hdd-256gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX506L Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS Black;87360 сом;"Ноутбук Asus FX506L Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS BlackОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506l-intel-core-i5-10300h-8gb-ddr4-512gb-ssd-nvidia-gtx1650ti-fhd-dos-black
Ноутбук Dell Vostro 14 3400 Intel Core i3-1115G4 8GB DDR4 120GB SSD DOS Urban Grey;39580 сом;"Ноутбук Dell Vostro 14 3400 Intel Core i3-1115G4 8GB DDR4 120GB SSD DOS Urban GreyОперационная система DOS; 2х-ядерный процессор 3.0 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 120 Гб; DVDRW нет; вес от 1.59 кг";На складе;https://www.kivano.kg/product/view/noutbuk-dell-vostro-14-3400-intel-core-i3-1115g4-8gb-ddr4-120gb-ssd-dos-urban-grey
Ноутбук HP 250 G7 Intel Core i3-8130U 4GB DDR4 1000GB HDD NVIDIA MX110 FHD DOS;49140 сом;"Ноутбук HP 250 G7 Intel Core i3-8130U 4GB DDR4 1000GB HDD NVIDIA MX110 FHD DOSОперационная система DOS; 2х-ядерный процессор 2.2 Ггц; дискретная графика; экран 15.6"" SVA FHD; объем оперативной памяти 4 Гб; физическая память HDD 1000 Гб; вес от 1.78 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-250-g7-intel-core-i3-8130u-4gb-ddr4-1000gb-hdd-nvidia-mx110-fhd-dos
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серый;44420 сом;"Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серыйТип: ноутбук; Процессор: AMD Ryzen 3-3200U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s340-15api-amd-ryzen-3-3200u-4gb-ddr-1000gb-hdd-128gb-ssd-amd-radeon-graphics-fhd-seryy
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD Intel HD Graphics 620 HD черный;35190 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 500 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-500gb-hdd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX506L Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS Black;94210 сом-1%93350 сом;"Ноутбук Asus FX506L Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS BlackОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 512 Гб; вес от 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506l-intel-core-i5-10300h-16gb-ddr4-512gb-ssd-nvidia-gtx1650ti-fhd-dos-black
Ноутбук Lenovo Ideapad V15-IIL Intel Core i3-1005G1 4GB DDR 128GB SSD Intel HD Graphics FHD DOS серый;39240 сом;"Ноутбук Lenovo Ideapad V15-IIL Intel Core i3-1005G1 4GB DDR 128GB SSD Intel HD Graphics FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-v15-iil-intel-core-i3-1005g1-4gb-ddr-128gb-ssd-intel-hd-graphics-fhd-dos-seryy
Ноутбук HP 250 G7 Intel Core i3-8130U 8GB DDR4 1000GB HDD NVIDIA MX110 FHD DOS;50090 сом;"Ноутбук HP 250 G7 Intel Core i3-8130U 8GB DDR4 1000GB HDD NVIDIA MX110 FHD DOSОперационная система DOS; 2х-ядерный процессор 2.2 Ггц; дискретная графика; экран 15.6"" SVA FHD; объем оперативной памяти 8 Гб; физическая память HDD 1000 Гб; вес от 1.78 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-250-g7-intel-core-i3-8130u-8gb-ddr4-1000gb-hdd-nvidia-mx110-fhd-dos
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics FHD серый;45700 сом;"Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics FHD серыйТип: ноутбук; Процессор: AMD Ryzen 3-3200U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s340-15api-amd-ryzen-3-3200u-4gb-ddr-1000gb-hdd-256gb-ssd-amd-radeon-graphics-fhd-seryy
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 512GB SSD Intel HD Graphics 620 HD черный;37950 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 512GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-512gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX506L Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650Ti FHD DOS Black;91640 сом-1%90780 сом;"Ноутбук Asus FX506L Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650Ti FHD DOS BlackОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.3...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506l-intel-core-i5-10300h-8gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650ti-fhd-dos-black
